State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty
Alabama,Autauga,54571,20221,13.858333333333315,61082.916666666664,18092.661347758272,30141.638549293617,11064.872922059483,6835.64249724224,10632.847466959647,3939.647420062671,48518.850094596084,14613,6546,42855,9643,474,32,232,1335,1310,1081,2682,6.9,830.0,9158.0,34,18,711.0,145.0,1327.0,19.0
Alabama,Baldwin,182265,73180,14.358064516129025,60664.93548387097,46400.35064059055,72307.84915238811,43486.806225850305,15459.84841623139,23336.898272856168,14323.85104655792,165014.09403864015,41898,30568,156153,17105,1348,89,1216,6354,7992,2242,6471,7.5,2573.0,7394.0,27,16,2615.0,415.0,4791.0,20.0
Alabama,Barbour,27457,9820,24.53333333333332,43123.0,6683.975690525203,9302.717959523585,1182.176872096708,3251.3625739964773,4750.994135775945,518.7016154979631,23643.30001293734,6015,3909,13180,12875,107,29,114,1152,1387,802,2097,4.9,413.0,8573.0,44,25,525.0,85.0,771.0,45.0
Alabama,Bibb,22915,7953,16.024999999999977,43362.5,295.6144259217978,295.6144259217978,0.0,164.90329523427047,164.90329523427047,0.0,21880.57789883414,5201,2906,17381,5047,22,13,64,388,406,299,1125,7.3,407.0,11766.0,40,20,333.0,33.0,561.0,29.0
Alabama,Blount,57322,21578,17.911111111111097,52136.0,5855.939160548365,7387.084978374584,3900.42036923814,2570.900480758877,3231.158783723677,1674.59913911699,55357.91115883341,14106,8439,53068,761,117,38,307,3031,4626,823,2900,8.3,906.0,9333.0,35,19,705.0,123.0,1316.0,22.0
Alabama,Bullock,10914,3745,19.3333333333333,45273.666666666664,6099.953134361751,7785.68564073716,3578.75458128333,3192.4091151609623,4058.8699219565924,1885.43876992586,9076.48707549275,2430,1469,2507,7666,20,43,23,655,777,703,794,3.8,180.0,10858.0,43,28,212.0,32.0,371.0,51.0
Alabama,Butler,20947,8491,24.811111111111078,42592.555555555555,2478.01401142952,4478.432770319186,1173.68525512093,1414.129113319348,2386.4500602889902,801.194352525125,18057.020139505803,5056,3489,11399,9095,177,7,60,209,191,701,2123,6.0,401.0,12427.0,36,27,539.0,106.0,690.0,36.0
Alabama,Calhoun,118572,47331,22.832258064516097,41626.48387096774,34221.446713327736,64949.13474195953,34221.446713327736,14477.229165709972,29217.92378830404,14477.229165709972,99233.63400680102,27126,16990,88840,24382,845,96,540,3869,3893,2562,8904,6.1,2133.0,10717.0,32,22,2488.0,673.0,3214.0,31.0
Alabama,Chambers,34215,13933,24.33333333333333,41690.22222222222,6793.989973628833,10900.259149698146,6065.40100147623,3534.147353584306,5548.070121117215,3285.7728816809067,29051.62019593086,7703,5706,20112,13257,168,10,69,599,536,1238,2519,5.6,700.0,11410.0,40,24,888.0,180.0,908.0,34.0
Alabama,Cherokee,25989,10626,21.049999999999933,45531.0,3518.586386153228,3989.189529990538,3415.06388726963,1526.3901764812492,1777.6236247705792,1468.92527476483,25183.06129418882,5566,4651,24081,1208,54,1,135,510,320,346,1960,7.9,544.0,12534.0,34,19,554.0,100.0,609.0,30.0
Alabama,Chilton,43643,16558,17.733333333333288,52456.77777777778,4707.387220895783,5989.9568847239025,3972.59931897575,2072.7389336795804,2580.78979880356,1830.70062299155,41319.89806545823,10960,5921,36713,4230,130,55,155,2360,3420,837,2952,7.8,770.0,10678.0,36,21,457.0,152.0,1078.0,28.0
Alabama,Choctaw,13859,5866,22.999999999999975,48360.25,2702.895198891986,2702.895198891986,0.0,1010.3791764765776,1010.3791764765776,0.0,13381.478716496249,3141,2519,7731,6012,12,0,18,86,73,463,1266,5.4,266.0,12937.0,41,25,425.0,14.0,399.0,34.0
Alabama,Clarke,25833,10337,26.955555555555524,44922.666666666664,8757.354817556055,10670.844616608365,6468.10857398756,4187.266752646882,4963.147371275501,2969.04897591401,23884.602405454178,6389,4174,14070,11336,77,4,103,243,271,1174,1907,4.6,395.0,9469.0,38,23,508.0,110.0,940.0,31.0
Alabama,Clay,13932,5670,19.92499999999995,42929.0,642.7409199126661,642.7409199126661,0.0,324.1809049146486,324.1809049146486,0.0,12372.30373608485,3144,2449,11380,2066,24,0,55,407,399,322,877,7.4,225.0,9390.0,37,21,275.0,48.0,340.0,27.0
Alabama,Cleburne,14972,5891,18.175,44902.75,789.5351428671922,789.5351428671922,0.0,310.1772850175663,310.1772850175663,0.0,13309.43804952054,3551,2361,14079,498,23,10,51,311,307,294,850,7.9,319.0,11803.0,30,17,323.0,22.0,341.0,28.0
Alabama,Coffee,49948,19849,19.778571428571404,52192.0,16386.3485083996,23887.623207326887,13786.988699182824,4945.0819751795225,8477.097610749217,3790.424378615086,43137.043606143394,12084,7210,37330,8359,644,100,645,2870,3180,1006,2518,6.8,702.0,7630.0,34,19,1013.0,164.0,1201.0,24.0
Alabama,Colbert,54428,22773,18.79285714285711,49333.78571428572,17572.771563244678,28565.79485462482,17133.65139145378,5926.952628536954,10798.783053626588,5734.978292593987,48119.08654027964,12034,9463,43789,8768,229,20,267,1355,1093,1383,3874,6.8,1017.0,10253.0,38,20,1438.0,245.0,1864.0,27.0
Alabama,Conecuh,13228,5625,29.39999999999996,34702.8,3558.359440280653,3558.359440280653,0.0,1750.034803964982,1750.034803964982,0.0,12275.843818569709,3042,2362,6788,6149,17,1,44,229,161,501,1497,4.3,277.0,12828.0,36,28,346.0,72.0,429.0,41.0
Alabama,Coosa,11539,4794,19.900000000000002,44178.666666666664,2825.774137892513,2825.774137892513,0.0,1166.20518076744,1166.20518076744,0.0,11499.78175654017,2370,1970,7648,3582,16,15,40,238,230,288,785,6.3,204.0,8421.0,40,23,238.0,19.0,298.0,32.0
Alabama,Covington,37765,15531,21.571428571428516,44752.857142857145,5298.421716889606,8140.069823764047,2239.6531843842004,2591.934989592187,4257.461015216163,1260.1015969409927,32574.17342001818,8523,6939,32022,4716,155,1,214,657,483,830,2517,7.2,700.0,9918.0,34,21,957.0,103.0,1101.0,34.0
Alabama,Crenshaw,13906,5652,17.249999999999982,50173.333333333336,5278.96648668747,5278.96648668747,0.0,2369.451736463954,2369.451736463954,0.0,12260.01464908494,3308,2210,10097,3254,189,8,57,301,204,267,999,5.7,262.0,10801.0,40,20,293.0,68.0,382.0,30.0
Alabama,Cullman,80406,31864,17.77777777777776,48658.88888888889,6158.777692761656,14227.33735912566,5574.066291264775,2624.0937043831364,6686.053020774237,2378.88885418789,75650.76072274483,18641,12810,76133,856,343,18,408,2648,3454,1463,4447,7.8,1365.0,9937.0,33,21,1501.0,137.0,1908.0,25.0
Alabama,Dale,50251,20065,18.20714285714283,54711.28571428572,10356.19487203197,15449.542563853116,9142.293797560626,3583.720280720771,5820.432323907451,3216.599796771213,46285.77981092296,12477,6759,37236,9679,534,44,371,2387,2821,1118,3240,6.2,732.0,8086.0,37,21,921.0,181.0,1255.0,29.0
Alabama,Dallas,43820,17064,35.57999999999995,36760.6,6222.12043711342,17553.82561103475,2281.1309772529535,3773.501573238879,11325.048162835401,1104.5533043100131,36361.242951726155,11595,6165,12769,30423,149,11,85,383,309,2385,5176,3.4,878.0,12928.0,41,28,765.0,329.0,1502.0,50.0
Alabama,DeKalb,71109,26842,19.285714285714267,46682.642857142855,0.0,0.0,0.0,0.0,0.0,0.0,66258.85258334964,18366,9875,60087,1078,203,147,969,8625,9690,1068,3988,8.0,1147.0,9642.0,30,22,1258.0,220.0,1740.0,29.0
Alabama,Elmore,79303,28301,13.093333333333312,63790.8,10346.499318370792,14968.344755662441,10168.37603945082,2086.3006646141966,3416.1434584995386,2075.785934286194,74087.30770261043,18707,9436,60455,15900,518,63,285,2082,2129,1244,3429,7.2,1180.0,8894.0,35,17,1244.0,223.0,1839.0,20.0
Alabama,Escambia,38319,14157,26.277777777777732,39200.555555555555,3857.767577920082,6039.60736166228,1728.611682358692,2096.082411101634,3158.338678872992,1039.541341448009,33959.29614866694,8679,5812,23784,12220,92,12,1288,923,718,883,3404,5.8,733.0,10392.0,38,25,865.0,184.0,1020.0,32.0
Alabama,Etowah,104430,42036,23.963333333333306,43995.2,37198.18895345369,54708.39603880434,37198.18895345369,13554.77689262435,22558.443433895853,13554.77689262435,87505.83707848736,23986,16508,83823,15796,672,171,448,3520,3447,2791,6554,6.6,2056.0,11439.0,35,20,2168.0,542.0,2644.0,31.0
Alabama,Fayette,17241,7100,20.73999999999998,43022.8,212.789471331423,212.789471331423,0.0,95.28257901401581,95.28257901401581,0.0,15141.122956793599,3837,3084,14910,1969,37,0,52,273,204,826,1619,7.2,329.0,10276.0,34,21,430.0,31.0,448.0,29.0
Alabama,Franklin,31704,12286,22.53333333333329,46421.666666666664,4637.623458395539,7156.587683186359,3168.84494234551,1557.4623648886345,3028.206951015712,968.386379014392,26227.87625960473,7867,4825,26320,1228,63,10,215,3868,4710,749,2304,7.4,586.0,11550.0,33,23,748.0,110.0,871.0,32.0
Alabama,Geneva,26790,10920,22.366666666666617,45978.0,2243.0870774790146,3204.5541446701645,2234.79642893667,862.1547805873648,1309.611282476142,857.938540945013,22198.59243426123,5991,4674,23127,2539,67,8,224,825,920,636,1995,7.5,484.0,9368.0,34,23,710.0,92.0,633.0,35.0
Alabama,Greene,9045,3764,37.533333333333296,30559.333333333332,2962.991008885671,2962.991008885671,0.0,1930.4269285667424,1930.4269285667424,0.0,8109.37293361392,2194,1454,1575,7370,15,0,17,68,69,401,1231,2.3,184.0,12431.0,46,34,218.0,73.0,319.0,55.0
Alabama,Hale,15760,6273,26.316666666666634,41982.833333333336,1864.5413498822554,1864.5413498822554,0.0,732.4471013225256,732.4471013225256,0.0,13940.299318702691,3915,2370,6266,9301,35,1,25,132,140,842,1499,5.8,265.0,9818.0,40,29,330.0,27.0,478.0,39.0
Alabama,Henry,17302,6994,16.516666666666648,55788.333333333336,3571.4390109677115,5784.825431656942,2765.96658291816,1074.0086561019111,1808.8059016009981,703.370753888173,15535.05572625357,3918,3044,11865,4942,54,2,57,382,389,480,1155,7.4,289.0,8563.0,36,21,476.0,47.0,456.0,28.0
Alabama,Houston,101547,40969,21.195454545454506,48522.5,15682.954179769516,40545.0638242822,15609.542828548922,4894.288116530535,15980.793716170616,4861.925199378064,80550.22220012122,24926,14675,71053,26176,820,49,446,3003,2995,2519,5731,6.4,1481.0,8558.0,33,20,2029.0,404.0,2765.0,30.0
Alabama,Jackson,53227,21513,18.290909090909057,45343.72727272727,4660.145909004188,8340.60196266387,2595.62868636008,2131.819549671422,3791.0892441852493,1282.3794347640928,49389.5379333465,11985,8773,48348,1781,185,48,719,2146,1339,1074,3025,7.5,1099.0,11929.0,32,19,1356.0,186.0,1549.0,27.0
Alabama,Jefferson,658466,263568,21.9773006134969,57674.43558282209,226758.09762214404,440053.30617846525,222337.9576471472,84219.0491877491,167609.35762848757,82850.95275532959,522325.49352006585,154528,86443,349166,276525,9158,244,1740,21633,25488,20751,39967,5.7,10305.0,10306.0,33,19,6194.0,5119.0,17926.0,26.0
Alabama,Lamar,14564,6103,22.5333333333333,40655.333333333336,229.95261224094375,229.95261224094375,0.0,109.32853863244222,109.32853863244222,0.0,13198.41575191438,3227,2732,12626,1643,4,2,24,265,180,403,1433,7.4,282.0,8848.0,34,22,367.0,23.0,355.0,34.0
Alabama,Lauderdale,92709,38680,23.168181818181793,51436.681818181816,14289.608559359109,32372.332985807865,13418.947502248797,5174.834401178559,13571.178943169365,4948.662276993296,77029.28010763103,19982,15553,80112,9257,685,34,338,2283,2082,2741,5388,7.0,1447.0,8773.0,33,18,1921.0,249.0,2964.0,24.0
Alabama,Lawrence,34339,13654,17.9222222222222,50423.11111111111,3316.492378635011,4623.182988460321,1939.77954221151,1396.0792050872742,2075.520990239804,769.27292123198,32385.668991470437,7964,4999,26647,3938,42,6,1953,1753,574,626,2507,7.6,622.0,10665.0,36,21,1034.0,87.0,1062.0,26.0
Alabama,Lee,140247,55682,27.292592592592563,57428.81481481482,55286.14525946469,90640.32353849178,55080.32939509644,24013.364837035937,40047.77415706686,23905.488726589516,122022.4598936289,31591,12716,100006,31901,3658,105,445,4132,4571,2999,6406,6.0,1736.0,7956.0,29,19,1813.0,356.0,3660.0,21.0
Alabama,Limestone,82782,31446,15.056249999999995,57960.4375,11418.481772045372,17222.85479382892,10890.314155841716,3309.4356597009782,6054.303816421673,3094.619887165699,76636.17009340151,19859,10187,66506,10429,924,42,547,4334,4591,1310,4380,7.7,1109.0,7195.0,33,18,1411.0,127.0,2162.0,19.0
Alabama,Lowndes,11299,4352,31.14999999999995,37409.0,2539.864391814919,2539.864391814919,0.0,1475.891758278439,1475.891758278439,0.0,10946.68765151783,2732,1655,2859,8310,14,0,25,91,87,526,1210,2.2,219.0,12910.0,45,29,248.0,55.0,443.0,47.0
Alabama,Macon,21452,8499,27.666666666666618,46682.083333333336,8583.010685155345,11297.841722062494,6429.138768794038,4953.986196774152,6453.829689177678,3816.07980994616,20214.549535737806,4420,3031,3319,17729,76,2,29,297,232,1107,2464,3.1,354.0,13001.0,45,28,391.0,148.0,644.0,46.0
Alabama,Madison,334811,134700,15.931506849315047,70237.24657534246,120958.03419460771,225377.67358196422,120611.67943142958,32148.49758868117,65257.975974914145,32057.79789576556,280966.60616492626,79490,40873,228280,80376,8265,365,2551,14974,15404,6885,14817,6.9,4061.0,7532.0,32,16,5023.0,2017.0,9303.0,19.0
Alabama,Marengo,21027,8535,25.083333333333247,44825.666666666664,6390.593493047566,7929.4838097532565,1857.08813918692,3129.1370979506787,4042.460396979473,754.198828900606,17559.674992397588,5191,3424,9751,10872,53,13,34,304,352,1027,1961,4.7,366.0,11076.0,40,26,548.0,96.0,570.0,35.0
Alabama,Marion,30776,12651,19.499999999999964,43428.25,1788.5183691182776,1788.5183691182776,0.0,918.9870476572668,918.9870476572668,0.0,28358.337498825458,6665,5645,28791,1184,54,14,101,632,632,726,2580,7.7,565.0,11024.0,36,21,807.0,88.0,870.0,30.0
Alabama,Marshall,93019,35810,19.72777777777774,50117.27777777778,21672.33263816675,32973.835606279965,21672.33263816675,8702.005824318958,14467.7366322643,8702.005824318958,81262.44430344306,23259,13862,81464,1494,478,103,706,8774,11238,1985,5740,7.5,1661.0,10993.0,33,22,1847.0,193.0,2329.0,33.0
Alabama,Mobile,412992,158435,24.304385964912246,49978.45614035088,103227.01465372373,222641.82751686382,101950.87069727102,40315.53260708134,94735.19661343789,40146.01313542364,324427.38695859956,103581,53321,248647,142992,7561,204,3681,9907,9936,10892,29059,5.7,6705.0,10198.0,37,21,4348.0,2278.0,12811.0,27.0
Alabama,Monroe,23068,9214,29.328571428571358,40901.857142857145,4507.820446826308,4507.820446826308,2.70283095883496,2324.6469120063857,2324.6469120063857,1.33709729456677,21674.241545478602,5841,3618,12718,9614,67,9,260,400,220,973,1270,4.2,403.0,11849.0,35,26,444.0,105.0,736.0,36.0
Alabama,Montgomery,229363,89981,23.607692307692275,55678.03076923077,78182.90009421566,159524.88511251073,73020.38395926998,35787.02585482731,69054.71943488758,33822.77313043793,180439.72176070165,56167,27421,90656,125477,4821,171,589,7649,8314,7324,17106,5.0,3133.0,9717.0,35,23,2658.0,937.0,6385.0,34.0
Alabama,Morgan,119490,47030,15.788888888888867,55984.25925925926,21964.765686836123,52192.46020882802,21844.877169042913,7042.17966623177,22022.971914178066,7010.182392962835,102118.50014928829,28624,16871,95404,14185,691,107,1042,8061,9156,2474,6446,7.6,1855.0,9424.0,32,19,2364.0,230.0,3218.0,24.0
Alabama,Perry,10591,3947,34.79999999999996,32812.0,881.5494763742024,881.5494763742024,0.0,517.3827952381389,517.3827952381389,0.0,9451.38945497182,2553,1769,3204,7276,30,5,17,59,114,472,1054,4.1,211.0,13849.0,43,29,257.0,,349.0,54.0
Alabama,Pickens,19746,8012,24.559999999999963,41480.6,529.1386400108428,529.1386400108428,0.0,176.1656846230489,176.1656846230489,0.0,17248.39797165609,4601,3336,11110,8211,36,1,28,360,313,781,1694,6.1,378.0,11640.0,36,27,516.0,42.0,529.0,35.0
Alabama,Pike,32899,13210,24.737499999999947,45734.125,7746.920358645062,13899.517416428584,6329.88009158945,3282.785012337093,7032.325399992473,2684.57141680477,28557.07439365825,6682,4211,19144,12054,654,24,192,831,730,1176,2602,5.7,503.0,10200.0,38,24,602.0,149.0,1006.0,36.0
Alabama,Randolph,22913,9164,22.499999999999947,44663.333333333336,6137.556007139538,7098.86421144577,3778.87527622127,2692.475742823748,3190.2031228461783,1714.89311577173,21242.05955844051,5473,3888,17532,4607,55,5,84,630,649,544,1631,7.0,442.0,12126.0,31,21,499.0,41.0,555.0,32.0
Alabama,Russell,52947,21229,23.907692307692287,45303.153846153844,5522.644935095915,18705.725825557485,4092.391109584827,2465.124673601477,9406.207495781693,1651.8681724893568,39496.80049122649,13499,6720,28449,22135,236,113,219,1795,1946,1767,4488,5.7,813.0,8908.0,36,24,976.0,256.0,1460.0,36.0
Alabama,Shelby,195085,74072,9.312499999999995,80591.375,60373.36990029626,104654.78430369202,60020.17141226847,10755.509157646504,21552.715297327664,10583.449739760543,171392.35332203048,49962,20627,161943,20732,3726,74,553,8057,11567,2125,4706,8.4,2009.0,6167.0,30,14,2030.0,275.0,4510.0,10.0
Alabama,St. Clair,83593,31624,17.307692307692285,57481.692307692305,9212.31957735016,10507.80695029988,9212.31957735016,1862.739426073358,2054.793536838358,1862.739426073358,79386.95314001059,19826,10909,73741,7150,518,46,281,1857,1716,903,4651,8.1,1439.0,10242.0,33,17,967.0,151.0,2001.0,18.0
Alabama,Sumter,13763,5629,34.49999999999995,36579.5,2304.478096742045,2304.478096742045,21.4905762486741,1427.6036664077699,1427.6036664077699,13.7027067203307,12406.109587240859,3068,2063,3326,10316,33,4,11,73,86,779,1598,3.9,223.0,12048.0,40,36,330.0,64.0,407.0,44.0
Alabama,Talladega,82291,31890,24.104545454545413,42967.40909090909,14101.786169712115,24454.83270622492,14065.134875886408,5922.558683716488,12283.516157568434,5903.216259299748,73838.76184954525,19285,11591,53739,26055,339,6,264,1888,1671,2482,6635,6.2,1551.0,11205.0,39,24,1319.0,301.0,2310.0,31.0
Alabama,Tallapoosa,41616,16985,21.359999999999975,46477.0,1513.1617956294883,3192.062477618285,872.315208544543,738.4201487983179,1669.1645757312012,486.750707420877,38154.090787761445,9219,7193,29087,11083,197,8,121,1120,1042,1465,2881,6.5,692.0,9494.0,37,23,833.0,195.0,1147.0,35.0
Alabama,Tuscaloosa,194656,76141,22.3851063829787,55451.48936170213,46589.14299627734,101958.97035398442,43093.63768520063,15604.640493006142,43137.91056780341,14596.543366924045,157128.08221925676,41786,21050,129004,57611,2306,117,526,5092,5949,4546,7869,6.4,2472.0,8286.0,34,20,3129.0,831.0,5347.0,25.0
Alabama,Walker,67023,26571,22.883333333333308,46378.11111111111,6046.850064439903,8240.439374644633,5759.740117960269,2520.545823928321,3435.027359975321,2422.00497891058,62447.37862902174,15107,10894,61146,3928,195,36,251,1467,1307,1480,4763,7.2,1583.0,14548.0,33,22,1177.0,272.0,1839.0,31.0
Alabama,Washington,17581,6758,16.59999999999998,51478.0,1478.896947319128,1478.896947319128,0.0,630.0267183562562,630.0267183562562,0.0,17286.73958913499,4484,2590,11508,4380,20,12,1411,250,151,262,1117,7.1,328.0,10326.0,40,21,358.0,45.0,594.0,32.0
Alabama,Wilcox,11670,4484,44.824999999999946,27508.0,4997.128567756621,4997.128567756621,2.10482219746336,3555.2358616069723,3555.2358616069723,1.38284553680568,11590.54491352494,3150,1752,3126,8465,4,1,14,60,72,508,1094,1.2,279.0,17987.0,45,31,289.0,48.0,412.0,49.0
Alabama,Winston,24484,10163,22.014285714285684,43208.42857142857,947.6712863869415,947.6712863869415,0.0,382.9527564665702,382.9527564665702,0.0,21960.1355140796,5299,4333,23409,115,60,28,163,709,639,635,1661,7.5,484.0,11638.0,30,21,675.0,55.0,712.0,29.0
Alaska,Aleutians East,3141,553,16.3999999999999,63250.0,2203.00003012739,2203.00003012739,2045.07721379028,1097.38717808408,1097.38717808408,1018.82534578768,3048.20711754778,371,155,660,219,1130,19,876,237,385,124,84,5.7,,,33,16,,,80.0,16.0
Alaska,Aleutians West,5561,1212,11.399999999999949,76654.0,1196.1347415625764,1196.1347415625764,1185.00001101491,463.1864778771114,463.1864778771114,459.967107100324,4636.280132054149,815,193,2004,332,1606,103,857,659,726,176,78,7.1,,,39,15,15.0,13.0,157.0,9.0
Alaska,Anchorage,291826,107332,8.638181818181812,91073.01818181819,87871.78917411032,201071.14853147717,87400.85280425828,15915.755138000142,42209.404387798044,15850.271289560718,210050.57367023788,75786,21139,192498,16226,23580,5901,23130,30491,22061,6286,8983,7.8,2937.0,7159.0,27,13,2524.0,2509.0,7915.0,12.0
Alaska,Bethel,17013,4651,23.666666666666632,52883.0,13761.26656917167,15239.254776231579,11528.925957869578,7784.488003129637,8164.160764643481,6233.5777071347275,15796.051761900399,6218,1041,1894,65,160,27,14109,758,181,2533,1555,2.4,206.0,12206.0,30,25,56.0,,1055.0,32.0
Alaska,Bristol Bay,997,423,7.2,92083.0,996.999998134377,996.999998134377,996.999998134377,176.102433617019,176.102433617019,176.102433617019,996.999998134377,225,83,481,0,8,3,334,171,24,39,20,7.3,,,40,15,,1.0,36.0,9.0
Alaska,Denali,1826,806,12.8,102552.0,1826.00001354376,1826.00001354376,1826.00001354376,418.769635211891,418.769635211891,418.769635211891,1826.00001354376,411,137,1637,10,19,1,65,94,42,3,19,5.9,,,27,12,19.0,,93.0,10.0
Alaska,Dillingham,4847,1563,17.65,63279.5,2461.509666027209,2461.509666027209,1729.62232524817,1560.6162051467277,1560.6162051467277,1150.77319461958,4490.42805863761,1595,367,878,11,32,6,3470,450,101,512,330,5.5,64.0,13249.0,38,21,,,197.0,30.0
Alaska,Fairbanks North Star,97581,36441,9.442105263157881,80402.0,37788.160884772544,53356.85888933054,37057.80756373404,6263.912130327399,11224.308403108584,6120.743232774299,87959.93071560685,25001,6375,75175,4423,2591,396,6879,8117,5651,2137,2306,7.1,849.0,6604.0,28,11,673.0,,2527.0,10.0
Alaska,Haines,2508,1149,7.7,66250.0,518.894136562258,518.894136562258,434.253470106857,186.619820892327,186.619820892327,156.178879248556,2059.99436861027,499,345,2086,10,14,0,230,168,47,87,122,7.3,,,26,12,,5.0,107.0,20.0
Alaska,Juneau,31275,12187,6.433333333333333,97540.33333333333,6475.150969810444,10034.714275909253,6347.2140402324385,1198.494179863704,1906.3302057420258,1185.955723329418,24236.467112907794,7336,2635,21814,279,1919,218,3692,3353,1588,1024,978,8.0,305.0,5825.0,29,11,301.0,146.0,800.0,10.0
Alaska,Kenai Peninsula,55400,22161,10.838461538461518,74866.07692307692,12422.449239717918,14328.174073550928,5521.12473392796,3565.5404176449874,4199.471066004137,1540.0399108312401,52091.5832961207,13111,6276,46857,269,631,119,4081,3443,1641,1233,1762,7.6,675.0,7402.0,28,13,811.0,,2155.0,14.0
Alaska,Ketchikan Gateway,13477,5305,11.224999999999973,85175.25,191.0924220437025,2254.7427933202434,172.1609799147376,66.9502220842987,827.671619015395,66.9502220842987,7422.604002426284,3227,1367,9176,78,943,27,1910,1343,538,654,752,7.7,170.0,7118.0,31,13,186.0,30.0,477.0,14.0
Alaska,Kodiak Island,13592,4630,11.09999999999998,74339.0,1848.896403118291,7040.176041027885,1287.123066279214,491.0616552981693,2020.6649044661478,322.1738119822103,9100.339392955215,3894,915,7522,92,2660,87,1797,1434,996,254,418,7.9,130.0,6397.0,30,13,127.0,,319.0,9.0
Alaska,Lake and Peninsula,1631,553,18.0,54148.0,1628.68561954872,1628.68561954872,1625.10020388105,709.751576367962,709.751576367962,708.113841122193,1630.98475030556,492,127,380,9,6,5,1061,170,43,254,97,1.9,,,32,21,,,81.0,31.0
Alaska,Matanuska-Susitna,88995,31824,11.749999999999995,81240.29166666667,29164.49036909211,35071.217917474234,25748.383693261945,8429.113415824264,10220.927356560982,7305.215277411812,84437.77735670573,25719,7069,75540,856,1096,221,4901,6381,3301,989,3398,7.7,1002.0,7055.0,30,14,948.0,,3505.0,12.0
Alaska,Nome,9492,2815,24.650000000000002,54179.0,5276.00763807735,5276.00763807735,4442.699835549884,3615.8203027743157,3615.8203027743157,3024.1095660319097,6843.97507317041,3259,603,1552,27,96,9,7199,609,115,1565,873,2.8,136.0,12354.0,32,25,35.0,,485.0,28.0
Alaska,North Slope,9430,2029,10.066666666666666,53869.0,5777.798082919831,7515.285449513271,5777.798082919831,1317.56973414244,1840.236095279966,1317.56973414244,7515.285449513271,2251,402,3147,94,425,104,5100,560,249,881,341,7.5,90.0,8326.0,37,16,39.0,74.0,246.0,18.0
Alaska,Northwest Arctic,7523,1919,21.74999999999995,66501.0,4363.809284806638,5396.48977633231,3548.1082026336885,2577.7140417203464,2953.702093371392,2149.741994390796,5396.73484120101,2655,455,846,37,42,12,6121,465,58,1212,588,2.9,85.0,11151.0,32,24,,,463.0,35.0
Alaska,Sitka,8881,3545,7.95,79894.5,3066.5883858571083,4540.78413409337,3066.5883858571083,571.2121118318623,919.023625557384,571.2121118318623,4540.78413409337,2090,1008,5798,47,529,30,1493,984,437,456,341,7.7,79.0,5764.0,29,13,98.0,8.0,211.0,10.0
Alaska,Southeast Fairbanks,7029,2567,14.34999999999995,66959.0,3323.08447550761,3323.08447550761,2633.58082929054,1323.1559162462931,1323.1559162462931,1066.79763334055,6842.005602572441,1849,664,5651,76,64,18,808,412,234,161,234,6.4,101.0,7924.0,33,14,84.0,,321.0,21.0
Alaska,Valdez-Cordova,9636,3966,9.666666666666599,90324.66666666667,5010.7108856504565,5010.7108856504565,1674.75410937435,1475.7918055343266,1475.7918055343266,613.8264023152257,8976.034769005739,2348,798,7127,46,354,54,1315,740,349,203,233,7.0,112.0,6752.0,30,13,88.0,23.0,424.0,12.0
Alaska,Yakutat,662,270,4.7,76000.0,662.000000993839,662.000000993839,662.000000993839,167.845668372982,167.845668372982,167.845668372982,662.000000993839,162,64,281,2,27,12,237,103,17,26,26,7.5,,,31,16,,,22.0,26.0
Alaska,Yukon-Koyukuk,5588,2217,24.099999999999998,48222.75,5587.9999953877505,5587.9999953877505,5587.9999953877505,2779.799147713837,2779.799147713837,2779.799147713837,5587.9999953877505,1552,569,1243,10,14,6,3992,323,66,1016,665,0.9,119.0,15729.0,28,23,64.0,,442.0,34.0
Arizona,Apache,71518,22771,35.93749999999995,36822.125,43728.95616971375,45859.04270944278,27968.03891697472,29830.203127557226,30807.968296892228,19721.359784703527,69750.38679207451,22660,8268,16634,175,203,26,52154,2326,4113,2122,5018,0.9,1120.0,14480.0,35,30,1285.0,84.0,2773.0,45.0
Arizona,Cochise,131346,50865,19.115624999999973,51112.8125,57849.36056239468,79765.07619161508,45602.07083506981,20249.060240014172,30621.312117854548,15817.64388658666,112728.06627546657,30250,22688,103085,5465,2525,418,1589,18264,42543,2911,7812,6.3,1744.0,7380.0,26,18,1713.0,477.0,3715.0,26.0
Arizona,Coconino,134421,46711,24.832142857142827,57898.71428571428,41039.05276377419,70513.8626610075,34748.67124841891,18853.43075403521,31813.96093072352,15514.29974504934,99474.19464035369,31788,11924,82967,1629,1846,164,36714,11101,18166,2974,6726,5.4,1219.0,7410.0,23,18,1231.0,462.0,4786.0,21.0
